France, Civilian Population, Death rates (period 1x1), 	Last modified: 29 Aug 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1950           0             0.046153        0.060585        0.053518
  1950           1             0.004689        0.005224        0.004962
  1950           2             0.001695        0.001988        0.001844
  1950           3             0.001174        0.001334        0.001255
  1950           4             0.000877        0.001071        0.000975
  1950           5             0.000735        0.000916        0.000827
  1950           6             0.000700        0.000772        0.000737
  1950           7             0.000467        0.000753        0.000613
  1950           8             0.000485        0.000690        0.000589
  1950           9             0.000438        0.000692        0.000567
  1950          10             0.000566        0.000604        0.000585
  1950          11             0.000457        0.000670        0.000564
  1950          12             0.000466        0.000684        0.000576
  1950          13             0.000640        0.000712        0.000676
  1950          14             0.000540        0.000855        0.000699
  1950          15             0.000691        0.001052        0.000873
  1950          16             0.000765        0.001088        0.000929
  1950          17             0.000885        0.001274        0.001082
  1950          18             0.000940        0.001345        0.001146
  1950          19             0.001158        0.001510        0.001337
  1950          20             0.001182        0.001551        0.001370
  1950          21             0.001234        0.001763        0.001504
  1950          22             0.001373        0.002021        0.001704
  1950          23             0.001423        0.001874        0.001652
  1950          24             0.001417        0.002044        0.001735
  1950          25             0.001582        0.002131        0.001859
  1950          26             0.001628        0.002273        0.001953
  1950          27             0.001596        0.002364        0.001981
  1950          28             0.001771        0.002277        0.002024
  1950          29             0.001739        0.002445        0.002092
  1950          30             0.001815        0.002504        0.002160
  1950          31             0.001968        0.002578        0.002274
  1950          32             0.001945        0.002821        0.002383
  1950          33             0.002264        0.002790        0.002526
  1950          34             0.002327        0.003155        0.002739
  1950          35             0.002301        0.003121        0.002707
  1950          36             0.002453        0.003167        0.002807
  1950          37             0.002526        0.003668        0.003096
  1950          38             0.002871        0.003770        0.003319
  1950          39             0.002560        0.004271        0.003413
  1950          40             0.002844        0.004521        0.003680
  1950          41             0.003236        0.004804        0.004017
  1950          42             0.003387        0.005434        0.004407
  1950          43             0.003515        0.005962        0.004737
  1950          44             0.003727        0.006509        0.005117
  1950          45             0.004111        0.007023        0.005563
  1950          46             0.004596        0.007735        0.006159
  1950          47             0.004827        0.008308        0.006563
  1950          48             0.005339        0.008753        0.007039
  1950          49             0.005359        0.009960        0.007639
  1950          50             0.006012        0.011147        0.008539
  1950          51             0.006645        0.011836        0.009154
  1950          52             0.006916        0.012896        0.009728
  1950          53             0.007541        0.013727        0.010369
  1950          54             0.008337        0.014879        0.011198
  1950          55             0.008631        0.015623        0.011573
  1950          56             0.009397        0.017183        0.012655
  1950          57             0.009789        0.018302        0.013339
  1950          58             0.010839        0.019195        0.014347
  1950          59             0.012023        0.021536        0.016038
  1950          60             0.013282        0.022553        0.017173
  1950          61             0.013235        0.024579        0.017990
  1950          62             0.015063        0.026388        0.019800
  1950          63             0.017412        0.029171        0.022321
  1950          64             0.018853        0.031707        0.024193
  1950          65             0.020215        0.034288        0.026013
  1950          66             0.022469        0.037492        0.028613
  1950          67             0.025229        0.040098        0.031279
  1950          68             0.028791        0.044915        0.035330
  1950          69             0.031321        0.047523        0.037870
  1950          70             0.034758        0.052456        0.041959
  1950          71             0.039160        0.059190        0.047386
  1950          72             0.043549        0.064919        0.052349
  1950          73             0.048152        0.069877        0.057057
  1950          74             0.054601        0.077697        0.063954
  1950          75             0.060463        0.084536        0.070118
  1950          76             0.069064        0.094311        0.079096
  1950          77             0.075159        0.103413        0.086254
  1950          78             0.084154        0.111321        0.094697
  1950          79             0.092119        0.124003        0.104231
  1950          80             0.102868        0.138327        0.116139
  1950          81             0.116278        0.149354        0.128429
  1950          82             0.127695        0.165761        0.141399
  1950          83             0.140846        0.183302        0.155798
  1950          84             0.155282        0.196618        0.169397
  1950          85             0.170351        0.215332        0.185179
  1950          86             0.187758        0.233147        0.202464
  1950          87             0.206549        0.254026        0.221523
  1950          88             0.220267        0.284983        0.239775
  1950          89             0.243763        0.295569        0.258852
  1950          90             0.263728        0.325634        0.281168
  1950          91             0.272909        0.336860        0.290158
  1950          92             0.313535        0.397962        0.334832
  1950          93             0.332551        0.408883        0.351246
  1950          94             0.380617        0.465879        0.401266
  1950          95             0.352947        0.422485        0.368999
  1950          96             0.425651        0.460141        0.433408
  1950          97             0.404347        0.431608        0.410601
  1950          98             0.479859        0.446195        0.471723
  1950          99             0.429046        0.611618        0.477921
  1950         100             0.766526        1.091252        0.838631
  1950         101             0.588235        0.956522        0.666667
  1950         102             0.742857        1.200000        0.868966
  1950         103             0.813559        0.600000        0.782609
  1950         104             0.315789        0.000000        0.214286
  1950         105             0.545455        0.000000        0.300000
  1950         106             0.000000        0.000000        0.000000
  1950         107             1.500000              .        1.500000
  1950         108                   .              .              .
  1950         109                   .              .              .
  1950         110+                  .              .              .
  1951           0             0.044825        0.058160        0.051627
  1951           1             0.005155        0.005978        0.005574
  1951           2             0.001720        0.001914        0.001819
  1951           3             0.001162        0.001437        0.001302
  1951           4             0.000817        0.001042        0.000932
  1951           5             0.000762        0.000848        0.000805
  1951           6             0.000553        0.000694        0.000625
  1951           7             0.000496        0.000673        0.000586
  1951           8             0.000423        0.000617        0.000522
  1951           9             0.000437        0.000479        0.000458
  1951          10             0.000481        0.000615        0.000549
  1951          11             0.000404        0.000584        0.000495
  1951          12             0.000518        0.000494        0.000506
  1951          13             0.000504        0.000732        0.000619
  1951          14             0.000604        0.000822        0.000714
  1951          15             0.000696        0.000939        0.000819
  1951          16             0.000661        0.000909        0.000786
  1951          17             0.000829        0.001121        0.000977
  1951          18             0.000866        0.001372        0.001123
  1951          19             0.001004        0.001525        0.001270
  1951          20             0.001006        0.001414        0.001214
  1951          21             0.001184        0.001569        0.001381
  1951          22             0.001340        0.001764        0.001557
  1951          23             0.001370        0.001945        0.001664
  1951          24             0.001410        0.002180        0.001803
  1951          25             0.001480        0.002205        0.001848
  1951          26             0.001566        0.002105        0.001839
  1951          27             0.001679        0.002261        0.001972
  1951          28             0.001786        0.002234        0.002011
  1951          29             0.001730        0.002339        0.002035
  1951          30             0.001879        0.002357        0.002119
  1951          31             0.001973        0.002594        0.002285
  1951          32             0.002010        0.002914        0.002464
  1951          33             0.002072        0.002936        0.002505
  1951          34             0.002249        0.002921        0.002584
  1951          35             0.002281        0.003602        0.002939
  1951          36             0.002303        0.003393        0.002843
  1951          37             0.002631        0.003567        0.003096
  1951          38             0.002570        0.003745        0.003157
  1951          39             0.002836        0.004192        0.003513
  1951          40             0.002900        0.004615        0.003755
  1951          41             0.003117        0.005224        0.004168
  1951          42             0.003299        0.005727        0.004507
  1951          43             0.003424        0.006080        0.004747
  1951          44             0.003820        0.006426        0.005120
  1951          45             0.004234        0.007174        0.005701
  1951          46             0.004636        0.007989        0.006306
  1951          47             0.004942        0.008669        0.006795
  1951          48             0.005501        0.009398        0.007441
  1951          49             0.005554        0.010180        0.007854
  1951          50             0.006327        0.011473        0.008872
